,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOGzdJxN4w4Xt7Uj3Xv1643TSxHxgEupPopMLfe8jKLie71wgyg1uX4lq62n6_H9eX13dPp3oI2UBiXx3Q,Akki Love,https://play-lh.googleusercontent.com/a/AATXAJz1wQz5vxSRs-EirPdFCRgZ_XVbfn60PZuqf1pE=mo,Nice app,5,0,4.0.18,2021-11-18 18:37:42,,
1,gp:AOqpTOGg0B7fjwyBlTD-1Sa-UxAWV7_AXNDQyLzb4cH0yIWCuI2bCiJ4iYkonkhGwt-eo5F-RTjPd3M70F4txQ,datta samindar,https://play-lh.googleusercontent.com/a-/AOh14GgWa6EcIfHG5T9PJdpViC-8x24WEibJSE22SrUh,Sup,5,0,,2021-11-18 18:37:35,,
2,gp:AOqpTOFhQbsuL9mVajhqY8hukiQzOeqx8P7FeSK2nsMs9y6bGqc4GIe3pWwqDr2zTOEv0HG1lBp8qJfPF6xYwA,Rahul Jadhav,https://play-lh.googleusercontent.com/a-/AOh14GiCYvrKNkVpMbRRRIYhedLu_4-X9QnytgZ4e2DH6A,😤,1,0,4.1.23,2021-11-18 18:36:58,,
3,gp:AOqpTOHA1KGb6C90eCxXxpIWWTMsV4ia7OlXzEuGOwA1fNwHUypke568NmTLCAzPgnGlbRPUvMk53N2TxbMtfQ,Rao Farman Ali,https://play-lh.googleusercontent.com/a-/AOh14GhzvI48NuEiEV5dLyw07ovqIwYIp7-bpD-aSpz3EQ,मेरे खाते से पैसे कट गए और जिसे मैने पैसे भेजे थे उसे नही मिले,1,0,4.1.25,2021-11-18 18:36:22,,
4,gp:AOqpTOE9ZJT-nlC9-JeDjgnTSORq_tD-_gkrIiRRUfEDj7RfM0mqOI_IXlOGMMlPQuY06Pv8Ulrr43nIUD943Q,Tapaswini Rana,https://play-lh.googleusercontent.com/a/AATXAJwOJfwTFdTpNpHe-5j-m7IPcCDM1ZrCnV5ANlY6=mo,Useful application,5,0,4.1.25,2021-11-18 18:35:39,,
5,gp:AOqpTOEjTGz9b6nlmd7aQB_3V4tAEpLrmzF1cAJvAc-k5mOv2n3DPZWWcjseupdpcpk8KQrGckWgcxD75noDHQ,Shalam Shalam,https://play-lh.googleusercontent.com/a/AATXAJwSqLSXVe5PtymhsxjYVPfwV3GQMFM8tM0j4LhM=mo,Very good,5,0,,2021-11-18 18:35:29,,
6,gp:AOqpTOEDCO4C1v4Rbx95Y6RXqHF5FbjrqFt9EfmpEqfQcO77ZDWThB14Cc0GVcOwslnQv-QZWvH9r_3r818saw,Sudheer Shrivastava,https://play-lh.googleusercontent.com/a-/AOh14Gg8N_Ayx7VVK7tlkjoNVrfSsEEvAT1iW5xJ-XZ6,Best \ay?Ment app,5,0,,2021-11-18 18:34:52,,
7,gp:AOqpTOGLkgg7GOGzn457NsDgORitea4t1h-7TadicI3m1_O2oe8qjiNURCVRNT3JwDFDXW8Iwt4DVH4CyP3zyQ,R k ff 007,https://play-lh.googleusercontent.com/a-/AOh14GhjKi4AF5oCHA23AXWGFrsst8JGpX7s64rfMIjOCg,Ok,5,0,4.1.19,2021-11-18 18:34:01,,
8,gp:AOqpTOHgZJCuP0J7ifUYm1Eyb3vZAsCGNSYse5EMpIplCO8UAJbIdB1LFTHAGZsvAQoDxr5lCW1MsYNAfeP6iQ,Sohan Yadav,https://play-lh.googleusercontent.com/a-/AOh14GgpnRszPyTdyW_nK8i_EDbzJE1Q0V-VeiURp8QG,Axilent,5,0,4.1.25,2021-11-18 18:33:55,,
9,gp:AOqpTOH1Dcma7JKrekZoBgT1JCVAIxVMrz29h8LWg3e6VSuf25oH6h30twKXOGZbkGlHheiQgHgK9Ds1CjU2ug,purna chandra,https://play-lh.googleusercontent.com/a-/AOh14GgBX3YVOdkAIgsdQO6Xtm6gLbstAxZoC8Y8al9CCA,Waste reward we want cashback .. who need those rewards... shifting to another app..,1,0,4.1.25,2021-11-18 18:32:53,,
